Model Configuration,Balancing,Split,Accuracy,Precision,Recall,F1,Macro_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MRR,MAP,NDCG
6. Gated BERT (Context Features),Pairwise,train,0.5028248587570622,0.2702523240371846,0.9004424778761062,0.4157303370786517,0.5032515419683561,0.3104351032448378,0.9004424778761062,0.44122418879056047,0.6344079224610197,0.6344079224610197,0.7258878829766663
6. Gated BERT (Context Features),Pairwise,validation,0.28820960698689957,0.20098039215686275,1.0,0.3346938775510204,0.31477411477411466,0.2416666666666667,1.0,0.37505087505087514,0.6408424908424908,0.6414835164835164,0.7300379088960495
6. Gated BERT (Context Features),Cluster,train,0.7005649717514124,0.30282861896838603,0.4026548672566372,0.345679012345679,0.6914722445695898,0.2697271386430678,0.4026548672566372,0.3083333333333333,0.5696384674813878,0.5696384674813878,0.6755610735624755
6. Gated BERT (Context Features),Cluster,validation,0.6724890829694323,0.2638888888888889,0.4634146341463415,0.336283185840708,0.6703194953194954,0.258974358974359,0.44871794871794873,0.315018315018315,0.5857142857142856,0.5857142857142856,0.6858171756800606
6. Gated BERT (Context Features),RST-Neighborhood,train,0.48891786179921776,0.2342143906020558,0.7057522123893806,0.35170893054024255,0.4958143380709752,0.28192161820480405,0.7057522123893806,0.38111567635903926,0.5539639441188113,0.5539639441188113,0.6631016825525626
6. Gated BERT (Context Features),RST-Neighborhood,validation,0.4890829694323144,0.2246376811594203,0.7560975609756098,0.3463687150837989,0.5111925111925113,0.25000000000000006,0.7435897435897436,0.35673585673585667,0.5639194139194138,0.5607142857142856,0.6690997119200839
6. Gated BERT (Context Features),DSNB,train,0.4650152107779226,0.22743177046885935,0.7190265486725663,0.34556087187666135,0.45934471133586174,0.2557890855457227,0.7190265486725663,0.36028234302570583,0.5246999067795527,0.5246999067795527,0.6406326372657698
6. Gated BERT (Context Features),DSNB,validation,0.388646288209607,0.17218543046357615,0.6341463414634146,0.2708333333333333,0.40650183150183145,0.2217948717948718,0.6410256410256411,0.30335775335775345,0.5026251526251526,0.4894485144485144,0.6160566782089854
7. FiLM BERT (RST Modulation),None,train,0.7222946544980443,0.3345132743362832,0.41814159292035397,0.37168141592920356,0.688922729188216,0.25313421828908556,0.41814159292035397,0.29970501474926253,0.5800542562157608,0.5800542562157608,0.6838974435699605
7. FiLM BERT (RST Modulation),None,validation,0.7554585152838428,0.3170731707317073,0.3170731707317073,0.3170731707317073,0.711884411884412,0.17307692307692307,0.3333333333333333,0.2188034188034188,0.5498168498168499,0.5423687423687423,0.6549791283467388
